DATE,AVG_DUR_U
01/01/1958,10.5
01/02/1958,11
01/03/1958,11.2
01/04/1958,12.1
01/05/1958,13.1
01/06/1958,14.4
01/07/1958,14.6
01/08/1958,15.7
01/09/1958,16.5
01/10/1958,16.5
01/11/1958,16.4
01/12/1958,15.7
01/01/1959,16.3
01/02/1959,15.5
01/03/1959,15.3
01/04/1959,14.9
01/05/1959,14.7
01/06/1959,14.9
01/07/1959,14.3
01/08/1959,13.7
01/09/1959,13.7
01/10/1959,12.9
01/11/1959,13.1
01/12/1959,13.1
01/01/1960,13.5
01/02/1960,13.1
01/03/1960,13
01/04/1960,12.6
01/05/1960,11.9
01/06/1960,11.9
01/07/1960,12.6
01/08/1960,12.2
01/09/1960,12.9
01/10/1960,13.5
01/11/1960,13.9
01/12/1960,12.4
01/01/1961,13.7
01/02/1961,13.6
01/03/1961,14.1
01/04/1961,15.5
01/05/1961,15.6
01/06/1961,16.2
01/07/1961,17.3
01/08/1961,17
01/09/1961,16.1
01/10/1961,15.9
01/11/1961,17
01/12/1961,15.8
01/01/1962,15.3
01/02/1962,16
01/03/1962,15
01/04/1962,14.9
01/05/1962,15.5
01/06/1962,15.1
01/07/1962,14.6
01/08/1962,14.5
01/09/1962,14.1
01/10/1962,14.1
01/11/1962,13.3
01/12/1962,13.6
01/01/1963,13.8
01/02/1963,14.1
01/03/1963,14.5
01/04/1963,14.5
01/05/1963,14.5
01/06/1963,14
01/07/1963,14
01/08/1963,13.9
01/09/1963,14.2
01/10/1963,13.9
01/11/1963,13.3
01/12/1963,13.3
01/01/1964,13.5
01/02/1964,13.2
01/03/1964,13.5
01/04/1964,12.4
01/05/1964,13.6
01/06/1964,13.6
01/07/1964,14.7
01/08/1964,13
01/09/1964,12.7
01/10/1964,12.6
01/11/1964,14
01/12/1964,12.7
01/01/1965,12.2
01/02/1965,12.6
01/03/1965,12
01/04/1965,11.4
01/05/1965,11.1
01/06/1965,11.6
01/07/1965,11.6
01/08/1965,11.9
01/09/1965,11.9
01/10/1965,12.1
01/11/1965,11.7
01/12/1965,11.4
01/01/1966,11.9
01/02/1966,11.2
01/03/1966,11.1
01/04/1966,10.8
01/05/1966,10.2
01/06/1966,9.7
01/07/1966,9.7
01/08/1966,9.8
01/09/1966,10.1
01/10/1966,10.3
01/11/1966,9.7
01/12/1966,9.5
01/01/1967,9.3
01/02/1967,9.2
01/03/1967,8.9
01/04/1967,8.8
01/05/1967,8.7
01/06/1967,8.3
01/07/1967,8.3
01/08/1967,8.9
01/09/1967,8.4
01/10/1967,8.7
01/11/1967,8.9
01/12/1967,8.6
01/01/1968,9.4
01/02/1968,8.7
01/03/1968,8.5
01/04/1968,8.7
01/05/1968,8.2
01/06/1968,7.9
01/07/1968,8.4
01/08/1968,8.3
01/09/1968,8.2
01/10/1968,8.4
01/11/1968,8.1
01/12/1968,8.2
01/01/1969,8.1
01/02/1969,7.9
01/03/1969,7.9
01/04/1969,7.9
01/05/1969,7.9
01/06/1969,7.7
01/07/1969,7.8
01/08/1969,7.9
01/09/1969,8
01/10/1969,7.6
01/11/1969,8
01/12/1969,8
01/01/1970,7.9
01/02/1970,8
01/03/1970,8.3
01/04/1970,8.2
01/05/1970,8.6
01/06/1970,8.6
01/07/1970,8.9
01/08/1970,8.8
01/09/1970,8.9
01/10/1970,8.7
01/11/1970,9.3
01/12/1970,9.8
01/01/1971,10.5
01/02/1971,10.4
01/03/1971,10.6
01/04/1971,10.9
01/05/1971,11.2
01/06/1971,11.6
01/07/1971,11.5
01/08/1971,11.5
01/09/1971,11.9
01/10/1971,12.6
01/11/1971,12
01/12/1971,11.5
01/01/1972,12.1
01/02/1972,12.4
01/03/1972,12.3
01/04/1972,12.4
01/05/1972,12.3
01/06/1972,12.4
01/07/1972,11.8
01/08/1972,11.8
01/09/1972,12.1
01/10/1972,11.7
01/11/1972,11.4
01/12/1972,11.4
01/01/1973,11
01/02/1973,10.5
01/03/1973,10.6
01/04/1973,10
01/05/1973,10.1
01/06/1973,9.6
01/07/1973,9.6
01/08/1973,9.8
01/09/1973,9.4
01/10/1973,10.2
01/11/1973,9.9
01/12/1973,9.5
01/01/1974,9.5
01/02/1974,9.6
01/03/1974,9.7
01/04/1974,9.8
01/05/1974,9.6
01/06/1974,9.7
01/07/1974,9.9
01/08/1974,9.8
01/09/1974,9.6
01/10/1974,9.9
01/11/1974,9.6
01/12/1974,10.1
01/01/1975,10.7
01/02/1975,11.7
01/03/1975,11.8
01/04/1975,12.9
01/05/1975,13.4
01/06/1975,15.3
01/07/1975,15
01/08/1975,15.6
01/09/1975,16.1
01/10/1975,15.4
01/11/1975,16.6
01/12/1975,16.5
01/01/1976,16.6
01/02/1976,16.3
01/03/1976,16.5
01/04/1976,15.9
01/05/1976,15
01/06/1976,16.9
01/07/1976,15.7
01/08/1976,15.6
01/09/1976,15.2
01/10/1976,15.2
01/11/1976,15.3
01/12/1976,15.1
01/01/1977,15.2
01/02/1977,14.7
01/03/1977,14.5
01/04/1977,14.4
01/05/1977,14.9
01/06/1977,14.4
01/07/1977,14.3
01/08/1977,13.9
01/09/1977,14
01/10/1977,13.7
01/11/1977,13.6
01/12/1977,13.6
01/01/1978,12.9
01/02/1978,12.5
01/03/1978,12.4
01/04/1978,12.3
01/05/1978,12.1
01/06/1978,12.1
01/07/1978,12
01/08/1978,11.4
01/09/1978,11.4
01/10/1978,11.7
01/11/1978,11.1
01/12/1978,10.6
01/01/1979,11.1
01/02/1979,11.2
01/03/1979,11.7
01/04/1979,11
01/05/1979,11.1
01/06/1979,10.4
01/07/1979,10.3
01/08/1979,10.6
01/09/1979,10.5
01/10/1979,10.5
01/11/1979,10.6
01/12/1979,10.8
01/01/1980,10.4
01/02/1980,10.6
01/03/1980,11
01/04/1980,11.4
01/05/1980,10.9
01/06/1980,11.3
01/07/1980,11.8
01/08/1980,12.4
01/09/1980,12.9
01/10/1980,13.1
01/11/1980,13.6
01/12/1980,13.7
01/01/1981,14.3
01/02/1981,14.1
01/03/1981,14
01/04/1981,13.9
01/05/1981,13.6
01/06/1981,13.7
01/07/1981,13.8
01/08/1981,14.4
01/09/1981,13.6
01/10/1981,13.5
01/11/1981,13.1
01/12/1981,13.1
01/01/1982,13.4
01/02/1982,14.1
01/03/1982,14.1
01/04/1982,14.5
01/05/1982,14.9
01/06/1982,15.7
01/07/1982,15.4
01/08/1982,16.2
01/09/1982,16.6
01/10/1982,17.2
01/11/1982,17.1
01/12/1982,18.1
01/01/1983,19.4
01/02/1983,19.2
01/03/1983,19.4
01/04/1983,19.5
01/05/1983,20.5
01/06/1983,20.8
01/07/1983,21.2
